hour_bucket,site,pred_utilization,price_multiplier,dynamic_tariff,baseline_tariff,pricing_action
2018-04-25 04:00:00-07:00,caltech,0.06857970964791942,0.7685797096479194,11.528695644718791,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 05:00:00-07:00,caltech,0.0,0.7,10.5,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 06:00:00-07:00,caltech,0.09532913237311368,0.7953291323731136,11.929936985596704,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 07:00:00-07:00,caltech,0.295520576131687,0.995520576131687,14.932808641975305,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 08:00:00-07:00,caltech,0.7527950445816151,1.0,15.0,15.0,HOLD (balanced demand)
2018-04-25 09:00:00-07:00,caltech,0.6425364711934145,1.0,15.0,15.0,HOLD (balanced demand)
2018-04-25 10:00:00-07:00,caltech,0.12952049039780567,0.8295204903978056,12.442807355967084,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 11:00:00-07:00,caltech,0.15999108367626855,0.8599910836762685,12.899866255144028,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 12:00:00-07:00,caltech,0.2344035150891634,0.9344035150891634,14.01605272633745,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 13:00:00-07:00,caltech,0.08817789780521282,0.7881778978052127,11.822668467078191,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 14:00:00-07:00,caltech,0.09922738340192062,0.7992273834019206,11.988410751028809,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 15:00:00-07:00,caltech,0.07322782921810711,0.7732278292181071,11.598417438271605,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 16:00:00-07:00,caltech,0.004887054183813446,0.7048870541838134,10.5733058127572,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 17:00:00-07:00,caltech,0.17026373456790192,0.8702637345679018,13.053956018518528,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 18:00:00-07:00,caltech,0.20829050068587154,0.9082905006858715,13.624357510288071,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 19:00:00-07:00,caltech,0.1227936385459536,0.8227936385459536,12.341904578189304,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 20:00:00-07:00,caltech,0.10032301097393644,0.8003230109739364,12.004845164609046,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 21:00:00-07:00,caltech,0.0295949074074074,0.7295949074074074,10.943923611111112,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 22:00:00-07:00,caltech,0.013794513031550064,0.7137945130315501,10.706917695473251,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-25 23:00:00-07:00,caltech,0.1255564471879291,0.8255564471879291,12.383346707818937,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 00:00:00-07:00,caltech,0.0,0.7,10.5,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 01:00:00-07:00,caltech,0.0,0.7,10.5,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 02:00:00-07:00,caltech,0.0,0.7,10.5,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 03:00:00-07:00,caltech,0.0,0.7,10.5,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 04:00:00-07:00,caltech,0.04191701368476046,0.7419170136847604,11.128755205271405,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 05:00:00-07:00,caltech,0.0,0.7,10.5,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 06:00:00-07:00,caltech,0.19873626543209943,0.8987362654320994,13.481043981481491,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 07:00:00-07:00,caltech,0.17449123799725583,0.8744912379972558,13.117368569958836,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 08:00:00-07:00,caltech,0.4742404320987663,1.0,15.0,15.0,HOLD (balanced demand)
2018-04-26 09:00:00-07:00,caltech,0.7982000514403302,1.0,15.0,15.0,HOLD (balanced demand)
2018-04-26 10:00:00-07:00,caltech,0.30098081275720195,1.0,15.0,15.0,HOLD (balanced demand)
2018-04-26 11:00:00-07:00,caltech,0.07301075102880644,0.7730107510288065,11.595161265432097,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 12:00:00-07:00,caltech,0.10674519890260668,0.8067451989026067,12.101177983539099,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 13:00:00-07:00,caltech,0.04549382716049402,0.745493827160494,11.182407407407409,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 14:00:00-07:00,caltech,0.09205058299039795,0.7920505829903979,11.880758744855967,15.0,DISCOUNT (low demand - attract off-peak sessions)
2018-04-26 15:00:00-07:00,caltech,0.024362654320987658,0.7243626543209876,10.865439814814813,15.0,DISCOUNT (low demand - attract off-peak sessions)
